t,p1x,p1y,p1h,p2x,p2y,p2h,p1ax,p1ay,p2ax,p2ay
1059,330.0,350.0,0,534.1167938548996,350.0,180.0,0.0,0.0,0.0889008647709133,-1.0887215948313008e-17
1076,330.0,350.0,0,532.3704717922801,350.0,180.0,0.0,0.0,-0.03219220906339238,3.942408578696632e-18
1092,330.0,350.0,0,530.7140772707293,350.0,180.0,0.0,0.0,-0.12497349750246967,1.5304839369465094e-17
1109,330.0,350.0,0,528.9560898012504,350.0,180.0,0.0,0.0,0.01671029125327801,-2.04642046961498e-18
1126,330.0,350.0,0,527.1994034913705,350.0,180.0,0.0,0.0,0.011255705873698134,-1.3784264170367303e-18
1143,330.0,350.0,0,525.4435936156304,350.0,180.0,0.0,0.0,0.007581610206243868,-9.284794671461099e-19
1161,330.0,350.0,0,523.5968373471669,350.0,180.0,0.0,0.0,0.09518936067545566,-1.1657334586407993e-17
1178,330.0,350.0,0,521.8494658111636,350.0,180.0,0.0,0.0,-0.027792716349221324,3.4036261116685545e-18
1195,330.0,350.0,0,520.0999301740616,350.0,180.0,0.0,0.0,-0.018720597739226134,2.2926120099467232e-18
1212,330.0,350.0,0,518.3489368433097,350.0,180.0,0.0,0.0,-0.012609806659782787,1.5442559363768477e-18
1229,330.0,350.0,0,516.5969616403255,350.0,180.0,0.0,0.0,-0.00849370443252147,1.0401787946190614e-18
1246,330.0,350.0,0,514.8443250685544,350.0,180.0,0.0,0.0,-0.005721183276910872,7.00642878740384e-19
1263,330.0,350.0,0,513.0912430124752,350.0,180.0,0.0,0.0,-0.003853670485950749,4.719385225591586e-19
1280,330.0,350.0,0,511.3378608873984,350.0,180.0,0.0,0.0,-0.0025957525734638153,3.178880080472641e-19
1297,330.0,350.0,0,509.58427664206374,350.0,180.0,0.0,0.0,-0.0017484451374894614,2.1412277411082242e-19
1314,330.0,350.0,0,507.83055625271226,350.0,180.0,0.0,0.0,-0.0011777164087417907,1.4422866302690917e-19
1331,330.0,350.0,0,506.0767441595725,350.0,180.0,0.0,0.0,-0.0007932853651983777,9.714943833024976e-20
1348,330.0,350.0,0,504.32287029666156,350.0,180.0,0.0,0.0,-0.0005343405814570321,6.543784827344044e-20
1365,330.0,350.0,0,502.5689548269129,350.0,180.0,0.0,0.0,-0.0003599207416601423,4.4077578422216346e-20
1382,330.0,350.0,0,500.8150113316606,350.0,180.0,0.0,0.0,-0.0002424351523590845,2.968974333397949e-20
1399,330.0,350.0,0,499.06104895900995,350.0,180.0,0.0,0.0,-0.00016329929425207932,1.9998395800880788e-20
1416,330.0,350.0,0,497.3070738709349,350.0,180.0,0.0,0.0,-0.00010999502029312011,1.3470504952127037e-20
1433,330.0,350.0,0,495.55309021801355,350.0,180.0,0.0,0.0,-7.409036606401621e-05,9.073452964637004e-21
1450,330.0,350.0,0,493.7991007959892,350.0,180.0,0.0,0.0,-4.990573508432389e-05,6.111689873204495e-21
